depth,nodes,time (ns)
0,0,64092
0,0,52673
0,0,41640
0,0,81842
0,0,41668
0,0,41120
0,0,41024
0,0,40801
0,0,39378
0,0,65279
,,
1,4,249591
1,6,283573
1,4,288833
1,5,294297
1,5,250230
1,4,280428
1,5,288052
1,6,251769
1,6,287112
1,4,280517
,,
2,13,840110
2,11,591387
2,16,699569
2,8,474291
2,0,69934
2,10,678177
2,0,67871
2,12,683970
2,10,674260
2,10,819154
,,
3,110,4098303
3,75,2988001
3,98,3930398
3,6,270256
3,62,2541060
3,46,2116431
3,112,4339319
3,133,5073726
3,61,2463309
3,77,3258992
,,
4,20,866047
4,11,704930
4,544,21095435
4,14,658551
4,582,21473237
4,637,24354891
4,25,1058501
4,6,616260
4,627,23120854
4,335,12722387
,,
5,67,2904480
5,114,5626140
5,84,3230525
5,100,3911988
5,140,5239921
5,2925,110472746
5,1540,58486689
5,15,874865
5,2822,106923424
5,43,1975110
,,
6,11353,431919950
6,11046,422374127
6,13679,521478158
6,529,20900315
6,402,15724903
6,14046,537765334
6,12171,463061454
6,373,14350816
6,584,23415538
6,11646,446407449
,,
7,50535,1929971995
7,1,359050
7,2453,94692762
7,62178,2383496525
7,72459,2775486631
7,40313,1545003261
7,72248,2775150260
7,3057,117556959
7,47013,1803861412
7,2603,99068492
,,
8,326866,12569179564
8,13563,520452131
8,13,766666
8,182237,7002613853
8,386991,14898884569
8,10290,396182546
8,202100,7784497842
8,235468,9077782447
8,414599,15985878338
8,476,18279174
,,
9,59565,2299374791
9,70179,2712371936
9,2775,108719776
9,1527,59849332
9,75,2935404
9,54144,2088155848
9,1143636,44071774666
9,45197,1742547965
9,1122074,43216824300
9,995768,38347734316
,,
10,8290,321586693
10,4741107,183120405992
10,181857,7033220867
10,12,713414
10,4593330,177553387696
10,340261,13178719798
10,13737,529822416
10,283,11041225
10,11739,454642872
10,331347,12819623397
,,
11,60794,2352122108
11,51854,2002314306
11,919121,35583463380
11,1512784,58547010069
11,46,2257756
11,1837,70186124
11,39140,1516458415
11,23166936,897423754461
11,77718,3014880278
11,67412,2616316258
,,
12,6859296,265786122845
12,13728,532448706
12,5954422,231100312712
12,223971,8694093693
12,272823,10590377429
12,149299534,5791809999740
12,322946,12523197228
12,5556223,215470165492
12,4949173,192067417265
12,199059,7724308591
,,
13,967819,37590502029
13,947621,36849819722
13,1326632,51602293115
13,1019414,39568752136
13,1008995,39188939527
13,31883776,1240760171085
13,24349398,947709085473
13,58819,2291204971
13,29205443,1139121692081
13,56022,2189072158
,,
14,353837,13799459339
14,14161,551979945
14,7780474,303316542441
14,269624,10503165186
14,211954,8252888740
14,7687304,299458547843
14,250350,9758915564
14,313827,12230141721
14,8827139,344231748875
14,6996854,272558474982
,,
15,1213207,47190999784
15,1689409,65791716734
15,28756550,1120730024981
15,23051840,900876235330
15,25809668,1008870818406
15,62125,2434044026
15,1074959,42017802299
15,29504098,1153541101325
15,1889,71879270
15,37844,1488288732
,,
16,5559168,217152663750
16,184128,7202123938
16,4605662,180081833359
16,117124114,4577575575795
16,132786288,5194971563643
16,117897467,4611416727653
16,6326639,247417211546
16,220833,8619519681
16,299534,11713615752
16,115376934,4507189656301
,,
