depth,nodes,time (ns)
0,0,56419
0,0,38872
0,0,36159
0,0,71906
0,0,36467
0,0,37613
0,0,37856
0,0,37127
0,0,38201
0,0,42306
,,
1,2,249879
1,5,256838
1,1,245907
1,3,234961
1,1,243255
1,6,262244
1,5,255802
1,2,210549
1,3,258272
1,4,252981
,,
2,11,765556
2,18,747891
2,23,894212
2,17,794653
2,21,890394
2,33,1366669
2,15,721469
2,15,740771
2,42,1468793
2,25,1033910
,,
3,203,6767713
3,1,230324
3,1,273752
3,50,2029655
3,6,281563
3,90,3313888
3,48,1899634
3,167,5493415
3,221,7367145
3,164,6208609
,,
4,425,14134379
4,41,1415278
4,586,19554066
4,434,15391560
4,0,87865
4,272,9258000
4,28,1238330
4,587,19279082
4,242,8275177
4,1058,35672680
,,
5,2203,74204634
5,71,2561896
5,2194,72847428
5,3167,106313957
5,209,7063424
5,87,2999049
5,4509,150920371
5,1208,41248574
5,97,3521512
5,5315,178882560
,,
6,872,28889912
6,23537,793354882
6,10906,368362938
6,14384,488536708
6,39,1574637
6,13207,448620525
6,737,26041058
6,15890,541242877
6,631,21267432
6,24849,848294822
,,
7,3193,108851541
7,140,5036251
7,1305,44921397
7,4304,147156606
7,139866,4774076584
7,2174,75818464
7,44462,1517909928
7,68,2467094
7,1362,47651566
7,64469,2206002260
,,
8,15242,520115819
8,157305,5385205081
8,16091,553353794
8,15441,528072207
8,174538,5982041509
8,518765,17751508739
8,18,823753
8,287973,9872935791
8,551878,18887658223
8,18873,646917939
,,
9,1281182,43952968694
9,76746,2630571393
9,2935,102580246
9,1303,43943618
9,79,3136350
9,1242139,42648240378
9,1743453,59808358572
9,1165272,39968228398
9,55747,1914072796
9,2518987,86544782536
,,
10,7301372,250775753300
10,159166,5476546917
10,283597,9748801258
10,315736,10851188554
10,155332,5339200037
10,210496,7232850193
10,167401,5757957015
10,405521,13938366587
10,17704,610069264
10,290280,9975347936
,,
11,1323173,45525696375
11,1752792,60342164088
11,129204,4450014500
11,92546,3188820148
11,89154,3075116116
11,33837,1164700540
11,1514507,52163997184
11,88404,3050695983
11,772425,26622338654
11,57438,1980650400
,,
12,94180230,3244497929522
12,1077,39810790
12,292280,10073503450
12,3882760,133991653345
12,95622495,3295710267807
12,7109026,245182393277
12,5674760,195974508924
12,5072351,175298870886
12,9431,327300863
12,279680,9662708500
,,
13,1963049,67882606815
13,53,2376675
13,857572,29604859990
13,1591,53863208
13,1930961,66517862276
13,19713058,681199045202
13,47672500,1648305729380
13,1399722,48316686585
13,20898932,723716736022
13,72340245,2505542718417
,,
14,316227,10954373631
14,131115711,4545500581552
14,16634150,577125446161
14,6519598,226464756177
14,10576248,367354624523
14,5213844,181024003984
14,13010,451926784
14,3947624,136982641042
14,21,1107042
14,7687341,266708069611
,,
15,28647009,996298522012
15,72624738,2525485126631
15,525710644,18247978473265
15,2153885,74497863902
15,20178309,698358699419
15,2785829,96433566529
15,4392,157076540
